id	utterance	slot_labels	intent
257	"We need food for energy, water treatments, pain medications and other meds for infections.  Medics for tooth ache, fever, vomiting and diarrhea."	O O B-FD O B-OTH B-WAT I-WAT B-MED I-MED O O B-MED O B-MED O B-MED I-MED I-MED I-MED I-MED I-MED I-MED I-MED	request
258	Good morning we live in the 12th section of Leyogane.  We have seen no aid yet.  The biggest problem is that we have a young woman that is going to give birth this month and she has no shelter to deliver in.	O O O O O O O O O O O O O O B-OTH I-OTH O O O O O O O O O O O B-MED I-MED I-MED I-MED I-MED I-MED I-MED O O O O O B-SHL I-SHL O B-MED O	request
259	Hi! I feel that I'm in bad moment I'm suffering so much with a ache then I don't have access to go the hospital please help me!	O O O O O O O O O O O O O O B-MED O O O O O O O O B-MED O B-MED O	request
260	"We have had problems since the earthquake.  There is no authority to help us and we haven't been able to find water.  A lot of people are hurt, we stared a comittee"	O O O O O O O O O O B-OTH I-OTH I-OTH I-OTH O O O O O O O O B-WAT O O O O O O B-MED O O O O	request
261	"araruby i live in Santiago, well old buildings are almost destroyed,but the worst part was for Concepci√≥n, they're without light and water"	O O O O O O B-SHL I-SHL I-SHL I-SHL O O O O O O O O B-OTH I-OTH O B-WAT	request
262	Most of the children and eldery in the camp are ill.	O O O O O O O O B-SHL O B-MED	request
263	"Dear Sir There has been great flood in our area and nothing has been saved here.  Our homes, fields, mosque, animals, human beings"	O O O O O O O O O O O B-OTH I-OTH I-OTH I-OTH O O O B-SHL O O O O O	request
264	"Hello we are OSCB social organisation in petionville road #28 we need shelter, we need everything possible"	O O O O O O O O O O O B-SHL I-SHL O B-OTH I-OTH I-OTH	request
265	Recommended malaria prophylaxis for persons traveling to areas affected by the tsunami:	O B-MED I-MED O O O O O O O O O	request
266	"He had a case of what the physicians on the ship are calling ""tsunami lung,"" which is severe aspiration pneumonia caused by inhaling a lot of the tsunami seawater and mud."	O O O O O O O B-MED O O B-OTH O O B-MED O O O O B-MED I-MED O O O O O O O O O O O	request
267	"Troops were called in to aid rescue work on Saturday after heavy monsoon rains lashed southern Pakistan leaving more than 50,000 people stranded, Pakistan Army spokesman Colonel Mohammad Idrees told dpa."	B-OTH O O O O B-OTH I-OTH I-OTH O O O O O O O O O O O O O O O O O O O O O O O	request
268	"shikarpur: Volunteers needed, food and medical help needed"	O B-OTH O B-FD O B-MED I-MED O	request
269	"We need water, food, and medications in Jacmel, Montagne La Voute."	O O B-WAT B-FD O B-MED O O O O O	request
270	"Priority needs identified by the Government: shelter (winterised tents, heating equipment), food items, medicines (field hospitals, first aid kits, water purification kits), helicopters and heavy machinery to remove debris, and financial assistance."	O O O O O O B-SHL O B-SHL B-OTH O B-FD O B-MED I-MED I-MED I-MED I-MED I-MED B-WAT O O B-OTH O B-OTH I-OTH I-OTH I-OTH I-OTH I-OTH I-OTH I-OTH	request
271	"We are also striving to boost the capacity of the Pakistan Red Crescent Society to take appropriate action in the event of any outbreak of water-borne infectious disease.  On Wednesday, an inter-agency mission organised by UNHCR and the World Food Programme (WFP) is to begin a two-day helicopter survey of areas along the devastated west coast of Sumatra.  During the last six years, USAID has supported RSA to gain international search and rescue training and the ability to train others in life-saving procedures following crises such as earthquakes, floods, trench rescue, swift water rescue, aircraft accident body recovery and numerous other skills.  After hundreds of Afghan refugees died this winter while living outside in extreme cold and snowy conditions, UN officials warned recently that the country is facing a humanitarian disaster"	O O O O O O O O O O O O O O O O O O O O O O O B-MED O O B-MED I-MED O O O O O O O O O O O O B-FD O O O O O O O B-OTH I-OTH O O O O O O O O O O O O O O O O O O O O O O B-OTH I-OTH I-OTH O O O O O O O O O O O O O O O O O B-OTH O B-WAT I-WAT B-OTH I-OTH I-OTH I-OTH O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	request
272	"I thought it was possible help would come from the forreigners here.  Leogane, route . ."	O O O O O B-OTH O O O O O O O O O O O	request
273	We need food and medical assistance.  signed Actions Citoyennes pour la renovation d'Haiti	O B-FD I-FD O B-MED I-MED O O O O O O O O	request
274	"I am from Fort De Jacque.  I a problem, a wall fell on my feet.  I need help, I am at home!"	O O O O O O O O O O O O B-MED I-MED I-MED I-MED O O O B-MED O O O O	request
275	our houses got destroyed. can you help us	O B-SHL O O O O B-OTH O	request
276	I am a simple citizen who lives in the area of Mole Saint Nicolas.  I (missing word.  probably want) all Haitian and international leaders to know that in this area we also need (obscured by symbol.  probably aid) too because (it's cut off from there)	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-OTH O O O O O O O	request
277	"The most urgent needs identified are: shelter, food, water, sanitation facilities, health facilities for primary care, psychological counseling, health education and hygiene promotion."	O B-OTH I-OTH I-OTH O O B-SHL B-FD B-WAT B-OTH I-OTH B-MED I-MED I-MED I-MED I-MED I-MED I-MED I-MED B-OTH O B-OTH I-OTH	request
278	We need food and water in Klecin 12.  We are dying of hunger.  Impasse Chretien Klecin 12 extended ( extension ) We are hungry and sick.	O B-FD I-FD O B-WAT O O O O O O O O B-FD O O O O O O O O O O O B-FD O B-MED	request
279	Where would we find a doctor for the kids that fell in school near the Chaple?	O O O O O B-MED O O O O O O O O O O	request
280	"Patients suffering from asthma, viral fever, fractures and breathing difficulties lay by the roadside."	B-MED I-MED I-MED I-MED I-MED I-MED I-MED I-MED I-MED I-MED O O O O	request
281	"We're in the area of Belair, at the foot of Morne Karate, on the road L'Amitie de Jacmel.  We are writing to request some assistance because things are not going well for us.  Thanks in advance."	O O O O O O O O O O O O O O O O O O O O O O O B-OTH I-OTH I-OTH O O O O O O O O O O O O	request
282	"The most vulnerable groups in typhoon-hit areas are women, especially pregnant and the lactating women, and children under five, according to a recent survey by the National Institute of Nutrition conducted with support from the United Nations Children's Fund (UNICEF)."	O O O O O O O O O O B-MED I-MED I-MED I-MED I-MED O O O O O O O O O O O O O O B-FD O O B-OTH O O O O O O O	request
283	Please can you give me the date of the official exam	O O O B-OTH I-OTH I-OTH I-OTH O O O O	request
284	"Children and old people are more likely to catch the viral infection and hence there is an increase in the number of cases from this age group.  Given the scale of the needs, there may be a temptation among donors to circumvent civilian structures and work directly with the military to deliver aid, but this would be a dangerous choice,"" said Samina Ahmed, its South Asia Project Director."	O O O O O O O O O O B-MED I-MED O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-OTH O O O O O B-OTH I-OTH I-OTH I-OTH I-OTH I-OTH I-OTH I-OTH O O O O O O O O O O O O O O O	request
285	"Salut with all the respect that i have for you,I great you in the name of jesus we would like to have pur water,foods,tent and medicine care."	O O O O O O O O O O O O O O O O O O O O O O O B-SHL O B-MED I-MED	request
286	"However, the crew was spotted in a lifeboat by a Coast Guard Dornier aircraft off the coast of West Bengal."	O O O O O O O B-OTH O O B-OTH I-OTH I-OTH I-OTH O O O O O O	request
287	IT'S RAINING THE MOTHER WENT TO THE HOSPITAL WITH HER KID OF 8 YEARS OLD WE STILL NEED HELP	O O O O O O O B-MED O O O O O O O O O B-OTH I-OTH	request
288	"since the earthquake we're at delmas 33 alaza street, we haven't recieve any assistance we don't have no shelter or no food.  please find a way to help us."	O O O O O O O O O O B-OTH I-OTH I-OTH I-OTH O O O B-SHL I-SHL O B-FD I-FD O O B-OTH I-OTH I-OTH I-OTH I-OTH I-OTH	request
289	"Suffering the consequences are the people who are unable to receive the care they need: malaria, typhus, infections and surgical emergencies continue to be a daily problem for the population which, however, is no longer able to find any kind of assistance in the public health facilities."	O O O O O O O O O O O O O O O B-MED I-MED I-MED I-MED I-MED I-MED O O O O O O O O O O O O O O O O O O O O B-OTH O O B-MED I-MED I-MED	request
290	I need all types of help for the people who survived the earthquake.	O B-OTH I-OTH I-OTH I-OTH I-OTH O O O O O O O	request
291	I say thank you because I see that you understand what I said.  I see an helicopter carrying medical supplies.  We also need psychologists.	O O O O O O O O O O O O O O O O O B-OTH O B-MED I-MED O O O O B-MED	request
292	October 1: President Bashir has ordered the release of opposition leaders on trial for plotting an alleged US-backed uprising.	O O O O O O O O O O O O O O O O O O O	request
293	information on the situation in Haiti.	B-OTH O O O O O	request
294	Chaos as major quake rocks Haiti The strongest earthquake in more than 200 years rocked Haiti on Tuesday co.  http bit. ly 6BsdfZ	O O O O O O O O O O O O O O O O O O O O O O O O	request
295	do I have the typho-malaria fever that this that I must make?	O O O O B-MED I-MED O O O O O O	request
296	LABOULE 14 TOMASEN 12 NEED FOOD ROOF SOME ARE WOUNDED	O O O O B-FD I-FD B-SHL O B-MED I-MED	request
297	What do we do to avoid an epidemic?	O O O O O O O O	request
298	Two people have problems in Petit-Goave Mango/Marion area.  One has a broken foot.  One is blind.  We cannot hold out	O O O O O O O O O O O O B-MED I-MED O O O B-MED O O O O O	request
299	- Earthquake victims' with severe trauma or amputation need prostheses.	O O O O B-MED I-MED O B-MED O B-MED	request
300	WE DONT HAVE WATER FOOD AND WE LOOK FOR WORK TOO	O B-WAT I-WAT I-WAT B-FD O O B-OTH I-OTH I-OTH O	request
301	"I am a victim.  I need food, water and a radio."	O O O O O O O B-FD B-WAT O O B-OTH	request
302	To Whom it May Concern.  Please we need food and water.  We live in Leogane Carrefour Dufort Coraille Lemaire.  Please Help us	O O O O O O O O B-FD I-FD O B-WAT O O O O O O O O O O O B-OTH O	request
303	"Rajasthan - More than 25 million people in 23,406 villages of 26 of the 32 districts of Rajasthan are reeling under famine conditions and facing acute shortage of drinking water, food and fodder for cattle."	O O O O O O O O O O O O O O O O O O O O O B-FD O O O O B-WAT I-WAT I-WAT I-WAT B-FD O B-FD O O	request
304	When we're going to find some water in Lascahobas?	O O O O O O B-WAT O O	request
305	"Hello, we are in the Petionville area we need tents, food and water"	O O O O O O O O B-SHL I-SHL B-FD O B-WAT	request
306	"We need water, tarps and tents for our little baby."	O B-WAT I-WAT B-SHL O B-SHL O O O O	request
307	We're a large group of victims.  We need water.  Some of us have high blood pressure.	O O O O O O O O B-WAT I-WAT O O O O O B-MED I-MED I-MED	request
308	"We have 40 people under a tent in 1er Impasse, after Lillavois 15, in the area of Bon Repos.  We have a lot of problems.  We need food ans water, and tents too."	O O O O O O B-SHL O O O O O O O O O O O O O O O O O O O O O B-FD I-FD O B-WAT O B-SHL O	request
309	People who became homeless because of the earthquake tried to make some tents with cover sheet.  the government has not done anything for them so far.  They have not received food nor water.	O O O B-SHL O O O O O O O O B-SHL O B-OTH I-OTH O O O O O O O O O O O O O O B-FD I-FD I-FD O B-WAT	request
310	"I am a victim of the earthquake.  I live in Mariani 1, we have problem: no drinking water as well as tent.  We are waiting for your response."	O O O O O O O O O O O O O O O O B-WAT I-WAT I-WAT O O O B-SHL O O O O O O O	request
311	we need food amd water for alot of kids	O B-FD I-FD O B-WAT O O O O	request
312	There's no help where I am before the earthquake.  The water was no good now it's worse.  It ruined everyone's teeth.	O B-OTH I-OTH O O O O O O O O B-WAT O O O O O O O O B-MED I-MED I-MED	request
313	"Thanks for the advices, but don't forget everybody is hungry, cause this is all the country who is hited.  To study, i can't because we don't find food."	O O O B-OTH O O O O O B-FD O O O O O O O O O O O O O O O O O O B-FD	request
314	"District 7020 is collecting funds to purchase the following goods locally: batteries, drinking water, charcoal, rice, cooking oil, sugar, cream, propane stoves & canisters, canned goods, bread, fruit, cereal, flour, baby food, diapers, and generators."	O O O B-OTH I-OTH O O O O O O B-OTH B-WAT I-WAT B-OTH B-FD I-FD I-FD I-FD I-FD I-FD I-FD I-FD I-FD B-OTH I-OTH B-FD I-FD I-FD I-FD I-FD I-FD B-OTH O B-OTH	request
315	Requesting water.  Home collapsed on Solino ( ground.  )	B-WAT I-WAT O B-SHL O O O O O O O	request
316	"Please, help me.  I need clothes or anything."	O B-OTH O O O O B-OTH O B-OTH	request
317	"for the children juice and other things.  Please help us, we are in Petionville, across from the cemetery, entrance of Jacquet station."	O O O B-FD O B-OTH I-OTH O O B-OTH I-OTH O O O O O O O O O O O O	request
318	"People from Route de l'amiti did not find Food, tent, water.  .  please Help us."	O O O O O O O O B-FD B-SHL B-WAT O O O O B-OTH O	request
319	"We need tarps, tents, food, water health care"	O O B-SHL I-SHL B-FD B-WAT B-MED I-MED	request
320	"we need food, and water please"	O B-FD I-FD O B-WAT O	request
321	We need some shelter with potable water in Tigoave Betirak.	O O O B-SHL O O B-WAT O O O	request
322	"pick up and donate clothes , gloves , towels , blankets , water ."	O O O B-OTH I-OTH I-OTH I-OTH I-OTH I-OTH I-OTH I-OTH I-OTH B-WAT O	request
323	"USAID/OFDA continues to address needs in water and sanitation, coordination, nutrition, and health, particularly preparing for outbreaks of endemic and opportunistic diseases."	O O O O O O B-WAT O B-OTH O B-FD O B-MED O O O B-MED I-MED I-MED O B-MED I-MED	request
324	Other major health issues facing the massive displaced population include acute respiratory infection and skin infections that arise from overcrowded unsanitary conditions and dirty water.	O O B-MED I-MED O O O O O O B-MED I-MED I-MED O B-MED I-MED O O O O B-OTH I-OTH O O B-WAT	request
325	"I am in Petion Ville, in b.  . .  incomprehensible, we have no water, there is nothing, there is no money"	O O O O O O O O O O O O O O B-WAT I-WAT O O O O O B-OTH I-OTH	request
326	"I want to know where I can find food, water, tents for about 150 of my brothers and sisters"	O O O O O O O B-FD I-FD B-WAT B-SHL O O O O O O O O	request
327	"We have no water, tents, food, there is trash everywhere and dead bodies under the rubbles.  We are at Delmas 33 around Fort Dimanche, please help us."	O O O B-WAT B-SHL B-FD O O O O O O O O O O O O O O O O O O O O O O	request
328	"(food?) and water send us aid, urgent"	O O B-WAT O O B-OTH O	request
329	"You have put 2-3 helicopter in the air that are dropping tiny bags of water, but those most in need are not receiving if you have god please help these people"	O O O O B-OTH O O O O O O O O O B-WAT O O O O B-OTH I-OTH I-OTH I-OTH O O O O O B-OTH O O	request
330	"We are located at Mont Nabrile third section Valley Jacmel.  We have a lot of people coming from outside so we need tents, food water.  medication and doctors."	O O O O O O O O O O O O O O O O O O O O O O B-SHL I-SHL B-FD B-WAT O B-MED O B-MED	request
331	"In Gonaives we're making a lot of effort with the people but we need water and food, many health centers are blocked we dont have means to help ourselves"	O O O O O O O O O O O O O B-WAT I-WAT O B-FD O B-MED I-MED O O O O O O O B-OTH I-OTH	request
332	At Croix des Bouquets we don't have any water aquatabs ( water purification tablets ).	O O O O O O O O B-WAT O O B-WAT I-WAT I-WAT O	request
333	We need food and water at Croix des bouquets and Noailles.	O B-FD I-FD O B-WAT O O O O O O	request
334	"food water mediacation, we dont have tents to protect our selves, i am using my cistern.  lovation not provided"	B-FD B-WAT B-MED O B-SHL I-SHL I-SHL O O O O O O O O O O O O O	request
335	"ickledTink12 \nIn the car trying to get downtown, need gasoline for the trucks and bring them to Santiago to help in water distribution xxx"	O O O B-OTH O O O O B-OTH I-OTH O O B-OTH O O O O O O B-WAT I-WAT I-WAT I-WAT O	request
336	We have no water or food.  Please make a way for us.	O O O B-WAT O B-FD O O O O O O O	request
337	"We need water in La Gonave, we need food and medicine."	O B-WAT I-WAT O O O O B-FD I-FD O B-MED	request
338	"We need water, food and medical care.  We are under the village.  Monpelye ( Rue des Pylons? ) Delma 33.  Merci"	O O B-WAT B-FD O B-MED I-MED O O O O O O O O O O O O O O O O O	request
339	"The Malian authorities must also waste no time in starting negotiations with the legitimate representatives of the peoples of the north and non-terrorist armed groups that recognise the integrity of Mali.  As a first-responder after the 2004 tsunami that killed 250,000 people across Southeast Asia, IMC was able to deliver medical services and supplies to the people in remote areas of Indonesia.  It is essential to use boiled water for drinking purposes."	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-MED I-MED I-MED O B-OTH O O O O O O O O O O O O O B-WAT I-WAT I-WAT O O O	request
340	"We are in dire need of food, water and temporary shelter.  We need to know where we can get supplies.  We are located in Frere Boukan, La plaine."	O O O O B-FD I-FD I-FD B-WAT O B-SHL I-SHL O O B-OTH I-OTH I-OTH I-OTH I-OTH I-OTH I-OTH I-OTH O O O O O O O O O	request
341	we need food and water for 70.  we are located at dincombe street ( College Louis Mercier ) there' s an other one at Lamarre streer at the parking	O B-FD I-FD O B-WAT O O O O O O O O O O O O O O O O O O O O O O O O O	request
342	"PLEASE!PLEASE HELP.  WE NEED FOOD, WATER, TENTS."	O B-OTH O O B-FD I-FD B-WAT B-SHL	request
343	"We're hungry, we need some food and water please"	O B-FD O O O B-FD O B-WAT O	request
344	"I am from Anse a pitree my house which was in Delmas 32 was destroyed with everything I had inside.  I went back to my hometown of Anse a pitrea.  I would like to know how to get some help, because I have absolutely nothing!"	O O O O O O O B-SHL O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-OTH O O B-OTH I-OTH I-OTH	request
345	"We don't have water to drink and we need food for eating,we very need help in Pernier Galette Greffin please."	O O O B-WAT I-WAT I-WAT O O O B-FD I-FD O O O B-OTH O O O O O	request
346	"We are in Fontamara on Louis St the route 1 and 2 we have not receive anything, we need water.  Thank you we are waiting on you"	O O O O O O O O O O O O O O B-OTH I-OTH O O O B-WAT O O O O O O O O	request
347	"We need food and water in Leogane, please."	O O B-FD O B-WAT O O O	request
348	"no food, water for the world because they die they prekf hungry world they pakapab ti again we need food, we need held"	B-FD I-FD B-WAT O O O O O O O O B-FD O O O O O O B-FD I-FD O B-OTH I-OTH	request
349	"From Leogane, Area bas rue la croix, bino la pointe: We need Shelter and pure water please."	O O O O O O O O O O O O B-SHL O B-WAT I-WAT O	request
350	"We need tents, drinking water, sanitation supplies, and food for children/baby food.  Rue Caonabo, delmas 24 organisation."	O B-SHL I-SHL B-WAT I-WAT B-OTH I-OTH O B-FD O B-FD I-FD O O O O O O	request
351	"I don't have anything to purify my water (aquatab or jif?), I am in Grande Anse in Abricot.  If you could do that for me (get me water purification tablets) God would bless you.  Thanks in advance"	O B-OTH I-OTH I-OTH O O O B-WAT O O O O O O O O O O O O O O O O O O O O B-WAT I-WAT I-WAT O O O O O O O O	request
352	"We need help, there is no food, water or anything, I live at rue Rois champagne"	O B-OTH I-OTH O O B-FD I-FD B-WAT O O O O O O O O	request
353	Im a victim who lost everything.  Im in Haitel's courtyard in Bois Verna with a lot of people.  We need water	O O O O B-OTH I-OTH O O O O O O O O O O O O O O O O B-WAT	request
354	"I can't drink water anymore without food, If God was not there, Me and my children should die long time ago, I'll stay strong cause God is there, thanks UnIted Nation."	O O O B-WAT O O B-FD O O O O O O O O O O O O O O O O O O O O O O O O	request
355	"We need help at DELMAS 33 next to the camp on RUE LEMAK : we need WATER, FOOD, TENTS.  Our home has collapsed and people in charge forgot us, we can be reached at the number"	O O B-OTH O O O O O O B-SHL O O O O O O B-WAT B-FD B-SHL O O B-SHL O O O O O O O O O O O O O O O	request
356	We need water in 57 to serve us thereas 100 families that suffer make a way for us.	O O B-WAT O O O B-OTH O O O O O O O O O O O	request
357	"Urgent needs also include water storage containers, soap and personal hygiene education programmes."	B-OTH I-OTH O O B-WAT I-WAT O B-OTH O B-OTH I-OTH I-OTH I-OTH	request
358	"I SALUTATION THIS ORGANIZATION I NEED HELP, WATER,FOOD AND SHELTER.  THANKS FOR YOUR COMPREHENSION"	O O O O O B-OTH I-OTH B-FD O B-SHL O O O O O	request
359	"The red Cross is not Present in the District of Gressier, people are dying under concrete, and for those alive we have not had not even medecine let alone water"	O O O O O O O O O O O O O O O O O O O O O O O O O O B-MED O O B-WAT	request
360	"We need food and water in Lacrobate and Sainte-Anne street, Jacmel city."	O B-FD I-FD O B-WAT O O O O O O O	request
361	"We are in Tomazo, especially in la Hatte Cadette.  We need water and food."	O O O O O O O O O O O B-WAT I-WAT O B-FD	request
362	"Health workers say clean water and sanitation, immunization against diseases such as measles, and supplemental feeding are urgently needed."	B-MED O O O B-WAT O B-OTH B-MED O B-MED O O B-MED O O B-FD O O O	request
363	What are you doing for people who are dying of hunger in Mawotye.  They gave only a little water.  Without God they would be dead already.	O O O O O O O O O O B-FD O O O O O O O O B-WAT O O O O O O O O	request
364	"While waiting for the government to build, if it rains, where am I going to sleep with the children? It's been more than 5 days that I've been asking for water and a tent.  I've been sending a lot of messages and not getting any help.  Thank you."	O O O O O O B-OTH O O O O O O O O O O O O O O O O O O O O O O O B-WAT O O B-SHL O O O B-OTH I-OTH I-OTH I-OTH I-OTH I-OTH I-OTH I-OTH I-OTH I-OTH O O O	request
365	the people in the village of god need food and water so that they can stay.  It is isn the university of Kiskeya ( in the area of delams 35 right of the main delmas road ).  pleas respond	O O O O O O O B-FD I-FD O B-WAT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-OTH	request
366	"We, the inhabitants of the zone of Bel-air, especially Docteur Aubry street between Macajoux street and the Rue ( street ) of Cesars are in a pitiful state.  We have ( truncated ).  ."	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	request
367	"WE ARE RESPOSIBLE OF THEIR HEALTH WE NEED VACCIN ,DRINK WATER, NO WE DONT HAVE ANY IN FONTAMA"	O O O O O B-MED O O B-MED B-WAT I-WAT O O O O O O O	request
368	"Oh my Gosh, we are dying with hunger and thirst in LIlavois 47."	O O O O O O O B-FD O B-WAT O O O	request
369	"The SurfAid office in Padang survived, however the internet system is down, along with electricity and phones, so a priority is to get a new internet system in place along with satellite phones and gensets for power, along with fresh water as the mains water supply is cut off."	O O O O O O O O B-OTH I-OTH I-OTH I-OTH O O B-OTH I-OTH I-OTH O O O O O O O O B-OTH I-OTH O O O O B-OTH I-OTH O O O B-OTH O O B-WAT I-WAT O O O B-WAT I-WAT O O O	request
370	What we must do in petite-Riviere to treat water to drink ?	O O O O O O O B-WAT I-WAT I-WAT I-WAT O	request
371	"we need tents, water and food"	O B-SHL I-SHL B-WAT O B-FD	request
372	"The Comite Miracle in the area of Alerte Rue Monseigneur Guilloux, ( Streets, Alerte and the cross street is Mgr Guilloux ) would like to urgently receive food, water and tents for the people in that area.  Thanks"	O O O O O O O O O O O O O O O O O O O O O O O O O B-FD I-FD I-FD B-WAT O B-SHL O O O O O O O O	request
373	"Please help us! We are in Primati Malgro.  They gave them stuff but we did not get any.  It's like you have to fight get something.  We are hungry, thirsty and we are suffering"	O B-OTH I-OTH O O O O O O O O O O O B-OTH I-OTH I-OTH I-OTH I-OTH O O O O O O O O O O O O B-FD B-WAT O O O O	request
374	"I need a tent, medicine, rice, potable water.  good care if you lose your foot.  The United Nations cannot help us because I cannot go to the bank."	O B-SHL I-SHL I-SHL B-MED B-FD B-WAT I-WAT O O O O O O O O O O O O O B-OTH I-OTH O O O O O O O	request
375	"Aww the family has gathered here :) Thank God, my aunt's house in #Concepcion is not damaged, they have no gas or water.  Electricity: yes"	O O O O O O O O O O O B-SHL O O O O O O O B-OTH I-OTH O B-WAT O B-OTH O	request
376	"we need job in whateverONG Because we not find help in the areawout frecitypetionville.  we ask some water,the responsable decid bought it."	O B-OTH I-OTH O O O O O O B-OTH O O O O O O O O O O O O O	request
377	"Hello, we need shelter, we need mobile health service, we need food and water.  Nobody came to see us. . it's only neighbors helping us"	O O B-SHL I-SHL O O B-MED I-MED I-MED O B-FD I-FD O B-WAT O O O O O O O O O O B-OTH O	request
378	"My house is destructed, please send aid for me because we are hungry and thirsty."	O B-SHL I-SHL I-SHL O B-OTH I-OTH O O O O O B-FD O B-WAT	request
379	"Everyone, people of Grande Saline le Lambi are asking for aid because they have not seen anyone.  We problem of water shortage.  We have a reservoir to put the water.  Ed"	O O O O O O O O O O B-OTH O O O O O O O O O O B-WAT I-WAT O O O O B-WAT O O O B-WAT O O	request
380	"We are the female assiciation of Shada, we need food, water, tent and medications.  We are around Damien and carrefour Shada."	O O O O O O O O B-FD I-FD B-WAT B-SHL O B-MED O O O O O O O O	request
381	"At Nerette in Petionville, we need products for women to wash themselves in order to reduce infections and (clean)the water they use."	O O O O O B-OTH I-OTH O O O B-WAT O O O O B-MED I-MED O O B-WAT O O	request
382	ALAS WE ARE DYING OF HUNGER AND THIRST.  WE ARE IN THE SPOTS CENTER IN CARREFOUR.	O O O O O B-FD O B-WAT O O O O O O O O O	request
383	"I need food and economic assistnce, in other words, money.  i am an earthquake victim who has not found any government aid.  please call me on this number so i can Amessage cut off"	O O B-FD O B-OTH I-OTH O O O B-OTH O O O O O O O O O O O B-OTH I-OTH O O B-OTH I-OTH O O O O O O B-OTH O O	request
384	whos next to fort mercredi i would like food and water please	O O O O O O O O B-FD O B-WAT O	request
385	PLEASE!!! WE NEED FOOD WATER MEDICINE WE ARE IN MALIK IN THE ZONE OF BOSYE	O O B-FD I-FD B-WAT B-MED O O O O O O O O O	request
386	"I need Food, wather and alementary product.  I need help."	O O B-FD B-WAT O B-OTH I-OTH O O B-OTH I-OTH	request
387	"Cars and motorbikes are driving about all over the place, helping to give food and water at least to the victims along the drivable roads.  The villagers said their cattle died during the relocation exercise to Nuanetsi ranch in Mwenezi in the country's agricultural region five, which is mostly suitable for cattle ranching and not crop farming.  Many are still living under tarpaulin roofs that were distributed shortly after the cyclone hit last May, with rescue efforts hampered by a government ban on foreign relief workers entering the affected areas.  The indication of success of the insertion of the concrete balls can be seen from the rising content of H2S (hydrogen sulfide) gas, as it indicates lower pressure from below"	B-OTH I-OTH I-OTH O O O O O O O O O O B-FD O B-WAT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-FD O O O O O O O B-SHL I-SHL O O O O O O O O O O O B-OTH I-OTH O O O O O O O B-OTH I-OTH O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	request
388	"We are at the top of Fontamara 43 (area of Carrefour), at the top of the hill named label. .  unrecognized characters.  We did not get any assistance: water, food, tents, medicine"	O O O O O O O O O O O O O O O O O O O O O O O O O B-OTH I-OTH I-OTH I-OTH I-OTH B-WAT B-FD B-SHL B-MED	request
389	"children 's toys and clothing in good condition , can also bring bottled water"	B-OTH I-OTH I-OTH I-OTH I-OTH O O O O O O O B-WAT I-WAT	request
390	"I people with me.  We need food, but we have water"	O O O O O O O B-FD O O O B-WAT	request
391	"We are 16 families with over 27 children.  We need water, food and a tent please."	O O O O O O O O O O B-WAT I-WAT B-FD O O B-SHL O	request
392	Food and water is needed at the Benoit Batraville school at Laboule 13	B-FD O B-WAT O O O O O O O O O O	request
393	"Come help us because we do not have enough water and food.  We are in delmas 16, 27"	O B-OTH O O O O O O O B-WAT O B-FD O O O O O O O	request
394	"We are on the Airport road, at the entrance to the runway.  We are 15 relatives with 5 babies.  The aid has not reached us yet.  We need water and plenty of food and things for the babies, please"	O O O O O O O O O O O O O O O O O O O O O O B-OTH O O O O O O O B-WAT I-WAT O B-FD I-FD I-FD O B-OTH I-OTH I-OTH I-OTH O	request
395	We are in need of assistance.  we are abandonned here in petionville between Dirgue Road and the Health center.	O O O B-OTH I-OTH I-OTH O O O B-SHL O O O O O O O O O O	request
396	"We need help in Gonaives because the raboto hospital is packed with injured and we need doctors, water, medicine, food because many of them are not from Gonaives"	O B-OTH I-OTH O O O O O B-MED O O O B-MED O O B-MED I-MED B-WAT B-MED B-FD O O O O O O O O	request
397	"Hungry,cold,etc.  Help us please."	O O B-OTH O O	request
398	"We need Help, food, water, medicine.  . .  we are right across the Justice Palace"	O B-OTH I-OTH B-FD B-WAT B-MED O O O O O O O O O O O	request
399	Water bottles Baby diapers size 5	B-WAT O B-OTH I-OTH O O	request
400	"These families are suffering from food shortages, a lack of clean drinking water and extremely poor sanitary conditions."	O O O O O B-FD O O O O B-WAT I-WAT I-WAT O O O B-OTH I-OTH	request
401	People needing water with baby Location : Beach 24	O O B-WAT O O O O O O	request
402	"please send us some food and water, we are dying of hunger"	O B-FD I-FD I-FD I-FD O B-WAT O O O O B-FD	request
403	"WE ARE IN MARTISSANT WE NEED FOOD MEDIC, WATER"	O O O O O B-FD I-FD B-MED B-WAT	request
